طابع زمني,Job Title ( Position ),Years of Experience: ,Company Type,Currency of Salary:,Monthly Salary:,Job Type:,Company Size:,Company Name:,Used Technology ,Additional Comments: 
8:34:08 م 2023/08/20,Junior,Less than 1 year,Startup company,EGP - Egyptian Pound,7000,Onsite,1-50 employees,Astra Tech ,Angular | Vue,
8:34:34 م 2023/08/20,Junior,Less than 1 year,Corporate company,EGP - Egyptian Pound,5000,Remote,1-50 employees,,Vue js ,
8:38:30 م 2023/08/20,Junior,1 to 2 years,Startup company,USD - United States Dollar,446,Remote,51-200 employees,,Angular,
8:41:25 م 2023/08/20,Senior,3 to 5 years,Out Source company,EGP - Egyptian Pound,45.000,Remote,1-50 employees,Crocosoft,React,
8:44:45 م 2023/08/20,Junior,Less than 1 year,Don't know,EGP - Egyptian Pound,4500,Hybrid,1-50 employees,Smart Link,React,"Well ,sometimes. I feel like I'm getting extra work ,I feel the salary is too low"
8:53:05 م 2023/08/20,Tech / Team Lead,+7 years,Startup company,USD - United States Dollar,4000,Hybrid,1-50 employees,,React,
8:53:31 م 2023/08/20,Tech / Team Lead,+7 years,Corporate company,EGP - Egyptian Pound,75000,Hybrid,201+ employees,,React,
8:54:38 م 2023/08/20,Tech / Team Lead,5 to 7 years,Startup company,EGP - Egyptian Pound,28000,Remote,51-200 employees,Private,"React, React Native, Redux, Vite, Node, AWS, Docker, Github",
8:56:27 م 2023/08/20,Mid Sernior,3 to 5 years,Corporate company,EGP - Egyptian Pound,13000,Hybrid,51-200 employees,SafaSoft,React,
8:59:53 م 2023/08/20,Senior,5 to 7 years,Startup company,USD - United States Dollar,48K,Remote,51-200 employees,,Angular,
9:04:51 م 2023/08/20,Junior,1 to 2 years,Startup company,EGP - Egyptian Pound,19000,Hybrid,1-50 employees,,"Angular, react",
9:10:02 م 2023/08/20,Junior,Less than 1 year,Startup company,EGP - Egyptian Pound,8000,Onsite,1-50 employees,SBtec,React,
9:11:04 م 2023/08/20,Senior,3 to 5 years,Startup company,EUR - Euro,Around 1936,Remote,1-50 employees,- ,React - NextJs,"Salary is for part time 4 hours / day, Also it's hourly rate as freelancer 22 € / hour 
It 's located in Germany 
The company size is less than 10 people "
9:11:54 م 2023/08/20,Senior,3 to 5 years,Corporate company,SAR - Saudi Riyal,14,Onsite,201+ employees,KA,"Angular, full stack",
9:14:27 م 2023/08/20,Mid Sernior,2 to 3 years,Out Source company,EGP - Egyptian Pound,15000,Remote,1-50 employees,,,
9:17:21 م 2023/08/20,Junior,Less than 1 year,Out Source company,USD - United States Dollar,400,Hybrid,201+ employees,Digital Innovation Lab ,React ,
9:28:36 م 2023/08/20,Mid Sernior,3 to 5 years,Startup company,EGP - Egyptian Pound,24000,Hybrid,1-50 employees,Efreshli,React,
9:30:41 م 2023/08/20,Senior,3 to 5 years,Startup company,EGP - Egyptian Pound,20000,Remote,1-50 employees,Techytypes,React,
9:34:15 م 2023/08/20,Junior,Less than 1 year,Startup company,EGP - Egyptian Pound,10000,Hybrid,1-50 employees,,React,
9:37:19 م 2023/08/20,Junior,Less than 1 year,Corporate company,EGP - Egyptian Pound,6000,Hybrid,201+ employees,,React,
9:43:41 م 2023/08/20,Junior,1 to 2 years,Corporate company,EGP - Egyptian Pound,12500,Onsite,51-200 employees,Itworx education,Angular,
9:44:44 م 2023/08/20,Junior,1 to 2 years,Startup company,EGP - Egyptian Pound,12000,Onsite,1-50 employees,,React,
9:45:18 م 2023/08/20,Junior,Less than 1 year,I haven't worked yet,EGP - Egyptian Pound,6000,Onsite,,,Angular ,I wish to work in your company
9:46:28 م 2023/08/20,Senior,3 to 5 years,Startup company,EGP - Egyptian Pound,25000,Onsite,1-50 employees,,React ,
9:47:34 م 2023/08/20,Senior,5 to 7 years,Startup company,USD - United States Dollar,1600,Hybrid,51-200 employees,Solutions by 42,Angular,
9:55:47 م 2023/08/20,Mid Sernior,3 to 5 years,Startup company,EGP - Egyptian Pound,17000,Remote,51-200 employees,Upper medic,React,
10:03:35 م 2023/08/20,Senior,3 to 5 years,Corporate company,EGP - Egyptian Pound,15000,Onsite,51-200 employees,,React,
10:10:54 م 2023/08/20,Tech / Team Lead,+7 years,Corporate company,USD - United States Dollar,6000,Remote,51-200 employees,,,
10:18:24 م 2023/08/20,Junior,1 to 2 years,Startup company,EGP - Egyptian Pound,8000,Hybrid,1-50 employees,,React and angular ,
10:25:15 م 2023/08/20,Mid Sernior,3 to 5 years,Corporate company,EGP - Egyptian Pound,20000,Remote,,,Vue,
10:32:12 م 2023/08/20,Junior,Less than 1 year,Startup company,EGP - Egyptian Pound,10000,Onsite,1-50 employees,,React,
10:32:38 م 2023/08/20,Junior,1 to 2 years,Product owner ,USD - United States Dollar,350,Remote,1-50 employees,....,React js ,
10:36:43 م 2023/08/20,Junior,1 to 2 years,Corporate company,EGP - Egyptian Pound,15000,Remote,51-200 employees,Petroapp ,Angular ,
10:43:58 م 2023/08/20,Junior,2 to 3 years,Out Source company,USD - United States Dollar,800,Remote,51-200 employees,Innovadigits ,React,
10:51:04 م 2023/08/20,Junior,2 to 3 years,Startup company,EGP - Egyptian Pound,6000,Hybrid,1-50 employees,VHM,React,
10:53:17 م 2023/08/20,Mid Sernior,2 to 3 years,Corporate company,EGP - Egyptian Pound,28000,Hybrid,201+ employees,,Angular,
11:12:33 م 2023/08/20,Junior,1 to 2 years,Corporate company,EGP - Egyptian Pound,8000,Onsite,1-50 employees,smk solutions ,React,
11:18:18 م 2023/08/20,Mid Sernior,3 to 5 years,Startup company,USD - United States Dollar,700,Remote,1-50 employees,Zumra,React,
11:53:27 م 2023/08/20,Tech / Team Lead,5 to 7 years,Corporate company,USD - United States Dollar,3200,Remote,201+ employees,,,
12:10:24 ص 2023/08/21,Junior,1 to 2 years,Startup company,EGP - Egyptian Pound,3000,Hybrid,1-50 employees,,"Angular, React, Vue",
12:20:04 ص 2023/08/21,Junior,Less than 1 year,Startup company,EGP - Egyptian Pound,8000,Hybrid,1-50 employees,...,Angular,...
12:36:07 ص 2023/08/21,Junior,Less than 1 year,Startup company,EGP - Egyptian Pound,6000,Onsite,1-50 employees,Planing Solution - حلول التخطيط,React,They provide internships but for free for like 3 months 
1:12:09 ص 2023/08/21,Junior,1 to 2 years,Startup company,EGP - Egyptian Pound,13000,Remote,1-50 employees,SyadTech,"Ionic,angular",
1:37:53 ص 2023/08/21,Junior,1 to 2 years,Startup company,EGP - Egyptian Pound,15000,Hybrid,1-50 employees,AIM Technologies,React,
2:24:59 ص 2023/08/21,Senior,2 to 3 years,Startup company,EGP - Egyptian Pound,20000,Remote,1-50 employees,,React,
2:26:12 ص 2023/08/21,Senior,3 to 5 years,Startup company,EGP - Egyptian Pound,36000,Onsite,1-50 employees,,React,
3:46:14 ص 2023/08/21,Mid Sernior,2 to 3 years,Startup company,EGP - Egyptian Pound,19000,Remote,1-50 employees,,Angular ,
4:34:13 ص 2023/08/21,Junior,Less than 1 year,Corporate company,EGP - Egyptian Pound,8000,Onsite,201+ employees,,Vue,
5:39:02 ص 2023/08/21,Mid Sernior,2 to 3 years,Corporate company,EGP - Egyptian Pound,8000,Remote,1-50 employees,ibtdi,nuxt,
6:07:47 ص 2023/08/21,Junior,1 to 2 years,Out Source company,EGP - Egyptian Pound,15000,Remote,1-50 employees,Stars and Stories,Vue,
7:11:05 ص 2023/08/21,Junior,2 to 3 years,Startup company,EGP - Egyptian Pound,13800,Onsite,1-50 employees,,React-nextjs,
8:26:24 ص 2023/08/21,Senior,+7 years,Out Source company,SAR - Saudi Riyal,25000,Onsite,201+ employees,,Angular ,
8:36:31 ص 2023/08/21,Senior,3 to 5 years,Corporate company,EGP - Egyptian Pound,75000,Hybrid,51-200 employees,,React and the eco system around it,
8:37:02 ص 2023/08/21,Junior,Less than 1 year,Startup company,EGP - Egyptian Pound,8000,Onsite,51-200 employees,,,
8:42:44 ص 2023/08/21,Senior,5 to 7 years,Out Source company,EGP - Egyptian Pound,30000,Hybrid,1-50 employees,,,
9:17:45 ص 2023/08/21,Mid Sernior,1 to 2 years,Startup company,EUR - Euro,1300,Remote,1-50 employees,,Vue,"No medical insurance though, I am satisfied although there isn't really alot of growth and learning compared to other companies, but for me turn it down for a much lower doesn't make a whole lot of sense. "
9:29:29 ص 2023/08/21,Junior,Less than 1 year,Startup company,EGP - Egyptian Pound,6000,Hybrid,1-50 employees,Cant ,React,its an okay company
9:35:12 ص 2023/08/21,Junior,1 to 2 years,Branding company,EGP - Egyptian Pound,10K,Onsite,1-50 employees,Graspstudios,Angular,No
9:35:51 ص 2023/08/21,Junior,Less than 1 year,Out Source company,EGP - Egyptian Pound,10000,Remote,1-50 employees,,Angular,I think the salary should include some extras for anything you do like creating package something like this
9:36:00 ص 2023/08/21,Senior,3 to 5 years,Startup company,EGP - Egyptian Pound,62000,Hybrid,1-50 employees,Confidential,"Angular, Ionic, Capacitor ",
9:42:34 ص 2023/08/21,Mid Sernior,2 to 3 years,Startup company,EGP - Egyptian Pound,6000,Onsite,1-50 employees,,Angular,
9:43:55 ص 2023/08/21,Junior,1 to 2 years,Startup company,EGP - Egyptian Pound,6500,Remote,1-20,,React,
9:49:22 ص 2023/08/21,Senior,5 to 7 years,Out Source company,EGP - Egyptian Pound,50,Remote,201+ employees,,Angular ,
9:59:01 ص 2023/08/21,Junior,Less than 1 year,Out Source company,EGP - Egyptian Pound,8000,Onsite,1-50 employees,Select ICT,Angular,I feel not very good and not very bad in this company
10:03:03 ص 2023/08/21,Junior,1 to 2 years,Startup company,EGP - Egyptian Pound,9600,Remote,1-50 employees,Vijua ,Native js ,
10:05:26 ص 2023/08/21,Junior,1 to 2 years,Startup company,SAR - Saudi Riyal,1500,Onsite,51-200 employees,Excellent protection,Angular,
10:27:59 ص 2023/08/21,Mid Sernior,3 to 5 years,Corporate company,EGP - Egyptian Pound,20800,Hybrid,201+ employees,_VOIS,React,
10:30:45 ص 2023/08/21,Senior,5 to 7 years,Startup company,EGP - Egyptian Pound,20,Onsite,1-50 employees,,React,
10:33:12 ص 2023/08/21,Tech / Team Lead,+7 years,Startup company,EGP - Egyptian Pound,55000,Hybrid,1-50 employees,Femto,React,
10:44:37 ص 2023/08/21,Senior,3 to 5 years,Out Source company,EGP - Egyptian Pound,40,Onsite,201+ employees,Cib,React,
12:52:04 م 2023/08/21,Junior,Less than 1 year,Corporate company,EGP - Egyptian Pound,14000,Hybrid,201+ employees,,React ,
1:03:05 م 2023/08/21,Mid Sernior,2 to 3 years,Corporate company,EGP - Egyptian Pound,15000,Remote,51-200 employees,,JS and angular ,
1:07:46 م 2023/08/21,Mid Sernior,2 to 3 years,Corporate company,EGP - Egyptian Pound,30000,Hybrid,201+ employees,,React,
2:51:00 م 2023/08/21,Senior,3 to 5 years,Corporate company,EGP - Egyptian Pound,20000,Onsite,1-50 employees,,"HTML, Javascript, React",
3:33:59 م 2023/08/21,Senior,3 to 5 years,Startup company,EGP - Egyptian Pound,32000,Hybrid,201+ employees,Noon,React,
4:16:15 م 2023/08/21,Junior,Less than 1 year,Out Source company,EGP - Egyptian Pound,6500,Onsite,201+ employees,Huawei ,Huawei technology ,
5:06:06 م 2023/08/21,Mid Sernior,2 to 3 years,Corporate company,EGP - Egyptian Pound,22500,Hybrid,1-50 employees,,Angular ,
5:35:17 م 2023/08/21,Junior,Less than 1 year,Startup company,EGP - Egyptian Pound,4000,Remote,1-50 employees,,React ,
6:16:31 م 2023/08/21,Mid Sernior,2 to 3 years,Startup company,EGP - Egyptian Pound,11000,Hybrid,1-50 employees,,React,
6:20:57 م 2023/08/21,Junior,1 to 2 years,Startup company,EGP - Egyptian Pound,12000,Hybrid,1-50 employees,Lead liaison ,React,
7:09:21 م 2023/08/21,Junior,Less than 1 year,Startup company,EGP - Egyptian Pound,5000,Remote,1-50 employees,Terminal,React,
10:24:12 م 2023/08/21,Senior,+7 years,Corporate company,USD - United States Dollar,1200,Onsite,1-50 employees,,Angular ,
12:24:19 ص 2023/08/22,Junior,Less than 1 year,Technology company ,EGP - Egyptian Pound,10000,Hybrid,51-200 employees,Eshtri Aqar ,Angular ,
5:41:11 ص 2023/08/22,Junior,1 to 2 years,Startup company,EGP - Egyptian Pound,6000,Hybrid,1-50 employees,,React,
11:04:25 ص 2023/08/22,Junior,2 to 3 years,Corporate company,EGP - Egyptian Pound,13000,Hybrid,201+ employees,,Angular,
11:46:08 ص 2023/08/22,Senior,15,Corporate company,EGP - Egyptian Pound,22000,Onsite,1512,Bank,"Html, Css, JavaScript ",
1:31:45 م 2023/08/22,Junior,1 to 2 years,Startup company,EGP - Egyptian Pound,18000,Onsite,1-50 employees,Digital Hub ,React ,
2:33:50 م 2023/08/22,Senior,3 to 5 years,Out Source company,EGP - Egyptian Pound,45000,Remote,1-50 employees,Digi Visions technologies ,Angular,
2:39:01 م 2023/08/22,Mid Sernior,3 to 5 years,Corporate company,EGP - Egyptian Pound,20000,Hybrid,51-200 employees,,React,
2:58:28 م 2023/08/22,Senior,3 to 5 years,Corporate company,EGP - Egyptian Pound,32500,Hybrid,201+ employees,,,
4:09:30 م 2023/08/22,Junior,Less than 1 year,Startup company,EGP - Egyptian Pound,9000,Hybrid,1-50 employees,orial,Angular,
7:09:01 م 2023/08/22,Junior,2 to 3 years,Startup company,EGP - Egyptian Pound,16400,Hybrid,1-50 employees,Contactcars.com ,Angular,
9:01:04 م 2023/08/22,Senior,3 to 5 years,Startup company,USD - United States Dollar,2800,Remote,51-200 employees,,Angular,
2:46:53 ص 2023/08/23,Tech / Team Lead,+7 years,Corporate company,USD - United States Dollar,3000,Remote,1-50 employees,,"Angular, vue",
7:59:51 ص 2023/08/23,Senior,5 to 7 years,Corporate company,EGP - Egyptian Pound,32000,Remote,201+ employees,,Angular,
2:28:34 م 2023/08/23,Junior,Less than 1 year,Startup company,EGP - Egyptian Pound,5000,Onsite,1-50 employees,Brooklyn B.S,react,
12:53:18 ص 2023/08/24,Junior,Less than 1 year,Startup company,EGP - Egyptian Pound,9000,Onsite,1-50 employees,Misk,"Angular, JavaScript",
10:01:04 م 2023/08/24,Junior,Less than 1 year,Startup company,EGP - Egyptian Pound,5000,Onsite,1-50 employees,تحول الرقمي,React,
1:43:52 ص 2023/08/25,Mid Sernior,Less than 1 year,Corporate company,SAR - Saudi Riyal,4000 egp,Remote,51-200 employees,no,react,
1:36:04 م 2023/08/26,Mid Sernior,1 to 2 years,Startup company,EGP - Egyptian Pound,12500,Hybrid,51-200 employees,penta-b,React,
3:09:42 م 2023/08/26,Junior,1 to 2 years,Startup company,EGP - Egyptian Pound,5000,Onsite,1-50 employees,,,
12:19:34 م 2023/08/28,Junior,1 to 2 years,Startup company,USD - United States Dollar,250,Hybrid,1-50 employees,,Angular,
7:00:07 ص 2023/08/30,Senior,10+,Corporate company,USD - United States Dollar,5500,Remote,201+ employees,,"Java, Angular, SQL",
8:59:39 ص 2023/08/31,Junior,2 to 3 years,Startup company,EGP - Egyptian Pound,6000,Part Time,1-50 employees,Spider-Te8,Vue,حاليا انا ف الجيش فالاتفاق علي ال salary كان متهاون فيه لاني بنزل اجازة ٨ ايام بشتغل اسبوع منه و كان بالنسبة ليا حاليا مناسب علشان اجيب مصاريفي ف الجيش والاتفاق كان ان بعد الجيش هيكون ف عقد مش اقل من ضعف المرتب الشهري الحالي...
10:53:01 ص 2023/08/31,Mid Sernior,3 to 5 years,Corporate company,EGP - Egyptian Pound,32500,Hybrid,201+ employees,,,
6:48:34 م 2023/08/31,Junior,1 to 2 years,Corporate company,EGP - Egyptian Pound,6000,Remote,1-50 employees,X,Vanilla,
11:26:17 ص 2023/09/01,Junior,1 to 2 years,Startup company,EGP - Egyptian Pound,14000,Hybrid,1-50 employees,,"Front end (vue, nuxt)",
7:41:35 م 2023/09/02,Junior,Less than 1 year,Startup company,EGP - Egyptian Pound,6000,Onsite,1-50 employees,Bird solutions ,Vue,
3:20:08 ص 2023/09/03,Junior,Less than 1 year,Startup company,EGP - Egyptian Pound,6500,Onsite,5,,React,
10:57:59 ص 2023/09/03,Junior,Less than 1 year,Startup company,EGP - Egyptian Pound,8000,Onsite,1-50 employees,,,
10:49:41 ص 2023/09/05,Junior,1 to 2 years,Startup company,EGP - Egyptian Pound,8000,Hybrid,1-50 employees,,React Nextjs ,
3:10:32 م 2023/09/08,Senior,2 to 3 years,Startup company,EGP - Egyptian Pound,30000,Hybrid,1-50 employees,,React,
8:20:30 م 2023/09/08,Junior,Less than 1 year,Startup company,EGP - Egyptian Pound,9500,Onsite,1-50 employees,,Angular,
10:45:31 ص 2023/09/09,Junior,Less than 1 year,Startup company,EGP - Egyptian Pound,16000,Hybrid,51-200 employees,,react,
11:25:03 ص 2023/09/09,Junior,1 to 2 years,Startup company,EGP - Egyptian Pound,9000,Onsite,1-50 employees,,"React, Next",
5:50:02 م 2023/09/10,Unemployed,Less than 1 year,I have never worked before,0,0,Unemployed,None,,,
9:50:26 م 2023/09/12,Mid Sernior,2 to 3 years,Startup company,EGP - Egyptian Pound,19000,Remote,51-200 employees,Confidential ,Angular,
9:51:14 م 2023/09/12,Senior,2 to 3 years,Startup company,EGP - Egyptian Pound,32000,Hybrid,1-50 employees,Confidential ,Angular,
10:40:27 ص 2023/09/13,Senior,5 to 7 years,Out Source company,EGP - Egyptian Pound,47000,Hybrid,51-200 employees,,Angular,"+ social insurance, medical insurance, bonuses, etc.."
5:36:13 م 2023/09/13,Junior,Less than 1 year,Startup company,EGP - Egyptian Pound,2500,Onsite,1-50 employees,Digital Lines Development ,,
