Timestamp,Gender,Degree,BusinessMarket,Title,ProgrammingLanguages,BusinessSize,Yoe,YoeBuckets,BusinessFocus,TotalCompensationEgp,BusinessLine,TotalCompensationEgpBuckets,Industries,WorkSetting,Level,IsEgp,CompanyLocation
4/2/2024 11:38:04,Male,Yes,Regional,Backend Engineer,C#,A Small and Medium Enterprise,1.0,1-3,Product-based company,18000.0,B2C,18-21K,,Hybrid,Junior,Yes,Cairo
4/2/2024 11:39:02,Male,Yes,Global,Backend Engineer,C#,A Large Enterprise/Multinational Company,4.0,3-5,Software House,40000.0,B2B,40-50K,Telecommunications,Hybrid,Senior,Yes,Cairo
4/2/2024 11:40:30,Male,Yes,,Backend Engineer,Python,A Small and Medium Enterprise,2.0,1-3,Product-based company,20000.0,B2B & B2C lines,18-21K,"Telecommunications, Technology",Hybrid,Mid-level,Yes,Cairo
4/2/2024 11:40:59,Male,Yes,Global,Backend Engineer,"JPava, JavaScript, Go",A Large Enterprise/Multinational Company,10.0,10-12,Product-based company,101500.0,B2B & B2C lines,100-120K,"Fintech, Delivery, Transportation, Technology",Hybrid,Senior,No,Cairo
4/2/2024 11:41:18,Female,No,,Product Owner,,A Small and Medium Enterprise,1.0,1-3,Product-based company,20000.0,B2C,18-21K,Telecommunications,Office,Junior,Yes,Cairo
4/2/2024 11:41:39,Male,Yes,,DevOps / SRE / Platform,JPava,A Large Enterprise/Multinational Company,2.0,1-3,Software House,20000.0,B2B,18-21K,Technology,Hybrid,Mid-level,Yes,Cairo
4/2/2024 11:42:04,Male,Yes,Regional,UI/UX Designer/Engineer,,A Large Enterprise/Multinational Company,3.0,3-5,Software House,17700.0,B2B,15-18K,"Fintech, Telecommunications, Internal Systems",Hybrid,Mid-level,Yes,Cairo
4/2/2024 11:42:52,Male,No,Local,Data Engineer,"JPava, Python",A Large Enterprise/Multinational Company,1.0,1-3,Product-based company,25000.0,B2C,25-30K,Telecommunications,Hybrid,Junior,Yes,Cairo
4/2/2024 11:43:09,Male,Yes,,Backend Engineer,"JavaScript, TypeScript, HTML/CSS",A Small and Medium Enterprise,3.0,1-3,Software House,25000.0,B2B,25-30K,,Hybrid,Mid-level,Yes,Cairo
4/2/2024 11:44:18,Male,Yes,,Mobile Development Engineer,Dart,A Start-up,4.0,3-5,Product-based company,95800.0,B2B & B2C lines,80-100K,Fintech,Office,Senior,No,Cairo
4/2/2024 11:46:15,Male,Yes,,Engineering Manager,,A Start-up,19.0,15-20,Product-based company,70000.0,B2B & B2C lines,70-80K,Insurance,Hybrid,C-Level,Yes,Cairo
4/2/2024 11:48:04,Male,No,Regional,Backend Engineer,JavaScript,A Large Enterprise/Multinational Company,2.0,1-3,Product-based company,28500.0,B2B & B2C lines,25-30K,Fintech,Office,Junior,Yes,Cairo
4/2/2024 11:48:31,Male,Yes,Global,Full-stack Engineer,"JPava, JavaScript, HTML/CSS",A Large Enterprise/Multinational Company,0.0,0-1,Software House,17000.0,B2B,15-18K,"Fintech, Healthcare, Insurance, Supply Chain, Telecommunications, Technology, Human Resources Services",Remote/Egypt,Junior,Yes,Cairo
4/2/2024 11:48:43,Female,Yes,Regional,Backend Engineer,"C#, JavaScript, Python, TypeScript",A Small and Medium Enterprise,4.0,3-5,Product-based company,47000.0,B2C,40-50K,Fintech,Hybrid,Mid-level,Yes,Cairo
4/2/2024 11:49:34,Female,Yes,Global,UI/UX Designer/Engineer,,A Large Enterprise/Multinational Company,7.0,5-8,Software House,55000.0,B2B & B2C lines,50-60K,,Remote/Egypt,Senior,Yes,Cairo
4/2/2024 11:50:06,Male,No,Global,Data Engineer,Python,A Large Enterprise/Multinational Company,1.0,1-3,Product-based company,20000.0,B2C,18-21K,"Supply Chain, Manufacturing, Agriculture",Remote/Egypt,Junior,Yes,Cairo
4/2/2024 11:51:01,Male,Yes,Global,QA / SDET Engineer,"JPava, Python",A Large Enterprise/Multinational Company,8.0,8-10,Product-based company,112565.0,B2B,100-120K,Technology,Hybrid,Team Lead,No,Cairo
4/2/2024 11:51:14,Male,Yes,Local,Backend Engineer,"Go, Scala",A Start-up,3.0,3-5,Product-based company,40000.0,B2C,40-50K,Fintech,Hybrid,Mid-level,Yes,Cairo
4/2/2024 11:53:30,Male,Yes,,Frontend Engineer,"JavaScript, TypeScript, HTML/CSS",A Start-up,2.0,1-3,Product-based company,13100.0,B2B,12-15K,"Technology, Human Resources Services",Hybrid,Junior,Yes,Cairo
4/2/2024 11:53:30,Male,Yes,Global,Mobile Development Engineer,"JavaScript, TypeScript",A Start-up,3.0,1-3,Software House,23000.0,B2B & B2C lines,21-25K,Fintech,Remote/Egypt,Mid-level,Yes,Cairo
4/2/2024 11:53:36,Male,Yes,Global,Backend Engineer,JPava,A Large Enterprise/Multinational Company,2.0,1-3,Software House,33800.0,B2B,30-35K,,Hybrid,Mid-level,Yes,Cairo
4/2/2024 11:54:49,Male,No,,Data Analytics,"Python, VBA, SQL, M-Code",A Large Enterprise/Multinational Company,2.0,1-3,Product-based company,17750.0,B2B,15-18K,Manufacturing,Remote/Egypt,Junior,Yes,Cairo
4/2/2024 11:55:25,Male,Yes,Global,Frontend Engineer,"JavaScript, TypeScript, HTML/CSS",A Small and Medium Enterprise,8.0,8-10,Software House,147532.0,B2B & B2C lines,140-160K,"Fintech, Healthcare, Insurance, Energy, Technology, Education",Hybrid,Senior,No,Cairo
4/2/2024 11:57:44,Male,Yes,,Backend Engineer,"JPava, TypeScript",A Small and Medium Enterprise,1.0,1-3,Software House,16000.0,B2B,15-18K,Healthcare,Remote/Egypt,Junior,Yes,Cairo
4/2/2024 11:58:00,Male,Yes,Regional,Backend Engineer,"JPava, Python",A Small and Medium Enterprise,4.0,3-5,Product-based company,110085.0,B2B & B2C lines,100-120K,"Fintech, Supply Chain, E-commerce",Hybrid,Mid-level,No,Cairo
4/2/2024 11:58:10,Male,Yes,,Data Engineer,Python,A Start-up,1.0,1-3,Product-based company,30000.0,B2B & B2C lines,30-35K,e-commerce marketplace,Hybrid,Junior,Yes,Cairo
4/2/2024 11:58:45,Female,Yes,Regional,QA / SDET Engineer,Python,A Start-up,2.0,1-3,Product-based company,33000.0,B2C,30-35K,Fintech,Hybrid,Mid-level,Yes,Cairo
4/2/2024 11:58:46,Male,Yes,,Full-stack Engineer,"C#, JavaScript, TypeScript, HTML/CSS",A Small and Medium Enterprise,1.0,1-3,Software House,18000.0,B2C,18-21K,Education,Hybrid,Junior,Yes,Cairo
4/2/2024 11:58:48,Male,Yes,,Data Engineer,Python,A Large Enterprise/Multinational Company,1.0,1-3,Software House,15000.0,B2B,15-18K,"Fintech, Telecommunications",Remote/Egypt,Junior,Yes,Cairo
4/2/2024 11:59:31,Male,Yes,Regional,"R&D Engineer (Computer Vision, NLP, etc.)","Python, C/C++",A Large Enterprise/Multinational Company,2.0,1-3,Product-based company,18000.0,B2C,18-21K,Manufacturing,Remote/Egypt,Junior,Yes,Cairo
4/2/2024 12:00:55,Male,Yes,Global,Backend Engineer,"Go, Ruby",A Start-up,2.0,1-3,Product-based company,33000.0,B2B,30-35K,Technology,Remote/Egypt,Mid-level,Yes,Cairo
4/2/2024 12:01:04,Male,Yes,,Frontend Engineer,TypeScript,A Small and Medium Enterprise,2.0,1-3,Software House,13000.0,B2B & B2C lines,12-15K,"Healthcare, Technology",Hybrid,Junior,Yes,Cairo
4/2/2024 12:01:06,Female,Yes,,Frontend Engineer,"JavaScript, HTML/CSS",A Small and Medium Enterprise,1.0,1-3,Product-based company,12000.0,B2B & B2C lines,12-15K,"Delivery, Supply Chain",Hybrid,Junior,Yes,Cairo
4/2/2024 12:01:25,Male,Yes,Regional,QA / SDET Engineer,JPava,A Small and Medium Enterprise,1.0,1-3,Software House,7000.0,B2C,6-9K,"Healthcare, Supply Chain",Office,Junior,Yes,Damietta
4/2/2024 12:02:04,Female,Yes,,Mobile Development Engineer,Swift,A Small and Medium Enterprise,5.0,5-8,Software House,38000.0,B2B & B2C lines,35-40K,"Fintech, Delivery",Remote/Egypt,Senior,Yes,Cairo
4/2/2024 12:03:35,Male,No,Local,Data Analytics,Python,A Start-up,3.0,1-3,Product-based company,25000.0,B2B,25-30K,Ecommerce,Hybrid,Mid-level,Yes,Cairo
4/2/2024 12:03:51,Male,Yes,Global,DevOps / SRE / Platform,,A Large Enterprise/Multinational Company,1.0,1-3,Software House,23000.0,B2B & B2C lines,21-25K,"Insurance, Transportation, Telecommunications, Manufacturing, Technology",Remote/Egypt,Junior,Yes,Cairo
4/2/2024 12:03:55,Male,Yes,Regional,DevOps / SRE / Platform,bash script and powershell,A Large Enterprise/Multinational Company,1.0,1-3,Software House,17000.0,B2C,15-18K,Fintech,Remote/Egypt,Junior,Yes,Cairo
4/2/2024 12:06:34,Male,Yes,,Backend Engineer,"C#, JavaScript, Python",A Small and Medium Enterprise,6.0,5-8,Product-based company,46917.0,B2B,40-50K,Insurance,Hybrid,Senior,Yes,Cairo
4/2/2024 12:06:55,Male,Yes,,Data Analytics,Python,A Large Enterprise/Multinational Company,2.0,1-3,Software House,18202.0,B2B & B2C lines,18-21K,Electronic components data,Hybrid,Junior,No,Banha
4/2/2024 12:07:40,Female,Yes,Global,Frontend Engineer,"JavaScript, TypeScript, HTML/CSS",A Large Enterprise/Multinational Company,2.0,1-3,Product-based company,13100.0,B2B,12-15K,Telecommunications,Office,Mid-level,Yes,Cairo
4/2/2024 12:07:58,Male,No,,Frontend Engineer,"JavaScript, TypeScript, HTML/CSS",A Start-up,1.0,1-3,Product-based company,15000.0,B2C,15-18K,Technology,Remote/Egypt,Mid-level,Yes,No site in Egypt
4/2/2024 12:09:33,Female,Yes,Local,Full-stack Engineer,JPava,A Small and Medium Enterprise,2.0,1-3,Product-based company,32500.0,B2B & B2C lines,30-35K,Fintech,Hybrid,Mid-level,Yes,Cairo
4/2/2024 12:09:36,Male,Yes,,Backend Engineer,JavaScript,A Start-up,1.0,1-3,Software House,23950.0,B2B,21-25K,Technology,Remote/Egypt,Junior,No,Alexandria
4/2/2024 12:09:51,Male,Yes,Global,Full-stack Engineer,"JPava, JavaScript, TypeScript, HTML/CSS",A Large Enterprise/Multinational Company,2.0,1-3,Software House,20000.0,B2B,18-21K,Telecommunications,Hybrid,Mid-level,Yes,Cairo
4/2/2024 12:10:13,Female,Yes,Regional,Backend Engineer,C#,A Start-up,9.0,8-10,Product-based company,55000.0,B2C,50-60K,E commerce,Office,Team Lead,Yes,Cairo
4/2/2024 12:10:55,Male,Yes,,Full-stack Engineer,"C#, TypeScript",A Large Enterprise/Multinational Company,1.0,1-3,Software House,21000.0,B2B,21-25K,"Insurance, Telecommunications",Remote/Egypt,Mid-level,Yes,Cairo
4/2/2024 12:11:37,Male,Yes,Local,Backend Engineer,"JavaScript, TypeScript",A Start-up,3.0,1-3,Product-based company,30000.0,B2C,30-35K,Fintech,Hybrid,Mid-level,Yes,Cairo
4/2/2024 12:11:38,Female,Yes,Regional,Data Scientist,Python,A Start-up,2.0,1-3,Software House,20000.0,B2B,18-21K,"Transportation, Technology",Office,Mid-level,Yes,Cairo
4/2/2024 12:11:58,Male,Yes,,Backend Engineer,JavaScript,A Start-up,3.0,3-5,Product-based company,27000.0,B2C,25-30K,,Remote/Egypt,Mid-level,Yes,Cairo
4/2/2024 12:13:58,Male,Yes,,Data Scientist,Python,A Small and Medium Enterprise,1.0,1-3,Product-based company,22500.0,B2B,21-25K,Fintech,Hybrid,Junior,Yes,Cairo
4/2/2024 12:14:11,Male,Yes,,Backend Engineer,Ruby,A Start-up,4.0,3-5,Product-based company,45000.0,B2B & B2C lines,40-50K,"Delivery, Supply Chain, Transportation",Hybrid,Senior,Yes,Cairo
4/2/2024 12:15:43,Male,No,,Full-stack Engineer,"JavaScript, TypeScript, HTML/CSS",A Start-up,1.0,1-3,Product-based company,8000.0,B2B,6-9K,Human Resources Services,Remote/Egypt,Junior,Yes,Cairo
4/2/2024 12:16:18,Male,Yes,,Mobile Development Engineer,"JPava, Kotlin",A Large Enterprise/Multinational Company,6.0,5-8,Product-based company,70000.0,B2B & B2C lines,70-80K,Retail,Hybrid,Senior,Yes,Cairo
4/2/2024 12:16:51,Female,No,,Full-stack Engineer,"JavaScript, HTML/CSS",A Start-up,0.0,0-1,Software House,16000.0,B2B & B2C lines,15-18K,Education,Remote/Egypt,Junior,Yes,Cairo
4/2/2024 12:19:27,Female,No,Regional,Product Owner,,A Small and Medium Enterprise,2.0,1-3,Product-based company,20000.0,B2B,18-21K,"Technology, Loyalty systems",Hybrid,Junior,Yes,Cairo
4/2/2024 12:20:00,Female,Yes,Local,Mobile Development Engineer,Swift,A Start-up,3.0,3-5,Product-based company,24000.0,B2B,21-25K,Fintech,Hybrid,Mid-level,Yes,Cairo
4/2/2024 12:20:16,Female,Yes,,Data Analytics,Python,A Large Enterprise/Multinational Company,3.0,3-5,Software House,16000.0,B2C,15-18K,Healthcare,Hybrid,Mid-level,Yes,Alexandria
4/2/2024 12:20:47,Male,No,,Frontend Engineer,"JavaScript, TypeScript, HTML/CSS",A Start-up,6.0,5-8,Product-based company,109212.0,B2C,100-120K,Healthcare,Hybrid,Senior,No,Cairo
4/2/2024 12:21:33,Male,Yes,,Backend Engineer,"JavaScript, TypeScript",A Start-up,1.0,1-3,Product-based company,12000.0,B2C,12-15K,Healthcare,Remote/Egypt,Junior,Yes,No site in Egypt
4/2/2024 12:22:41,Male,Yes,Regional,Backend Engineer,C#,A Small and Medium Enterprise,2.0,1-3,Software House,23950.0,B2C,21-25K,Supply Chain,Hybrid,Mid-level,No,Cairo
4/2/2024 12:22:48,Male,No,,Backend Engineer,Ruby,A Start-up,3.0,1-3,Product-based company,53000.0,B2B,50-60K,"Delivery, Supply Chain",Remote/Egypt,Mid-level,Yes,Cairo
4/2/2024 12:25:52,Male,Yes,,Backend Engineer,"JavaScript, TypeScript",A Start-up,2.0,1-3,Software House,20000.0,B2B & B2C lines,18-21K,Education,Remote/Egypt,Mid-level,Yes,Cairo
4/2/2024 12:26:07,Male,Yes,,Backend Engineer,"PHP, HTML/CSS",A Start-up,1.0,1-3,Software House,5000.0,B2B & B2C lines,3-6K,"Technology, Education, Production",Office,Junior,Yes,Mansoura
4/2/2024 12:26:16,Female,Yes,,Technical Support,,A Large Enterprise/Multinational Company,1.0,1-3,Software House,26000.0,B2B & B2C lines,25-30K,"Technology, Human Resources Services, Production",Remote/Egypt,Junior,Yes,Cairo
4/2/2024 12:27:32,Male,Yes,,Backend Engineer,"C#, JavaScript, HTML/CSS",A Start-up,2.0,1-3,Software House,25000.0,B2B & B2C lines,25-30K,"Delivery, Ticketing",Hybrid,Senior,Yes,Cairo
4/2/2024 12:29:16,Male,Yes,,Mobile Development Engineer,Dart,A Start-up,1.0,1-3,Product-based company,13000.0,B2B,12-15K,Delivery,Hybrid,Junior,Yes,Cairo
4/2/2024 12:30:00,Male,Yes,,QA / SDET Engineer,"JPava, Python",A Start-up,1.0,1-3,Product-based company,25000.0,B2B,25-30K,Fintech,Hybrid,Mid-level,Yes,Cairo
4/2/2024 12:31:17,Female,Yes,,Data Scientist,Python,A Small and Medium Enterprise,3.0,3-5,Software House,18583.3,B2B & B2C lines,18-21K,"Technology, Production, Cyber Security",Remote/Egypt,Junior,Yes,Cairo
4/2/2024 12:31:35,Male,Yes,,Data Analytics,PL/SQL,A Small and Medium Enterprise,0.0,0-1,Product-based company,4000.0,B2B,3-6K,Supply Chain,Office,Junior,Yes,Alexandria
4/2/2024 12:31:51,Female,Yes,,Frontend Engineer,"JavaScript, TypeScript",A Start-up,3.0,3-5,Product-based company,16000.0,B2B & B2C lines,15-18K,Healthcare,Remote/Egypt,Mid-level,Yes,Cairo
4/2/2024 12:32:09,Male,Yes,,Data Analytics,"Python, SQL",A Large Enterprise/Multinational Company,7.0,5-8,Product-based company,43500.0,B2B,40-50K,Banking,Office,Senior,Yes,Cairo
4/2/2024 12:32:14,Male,No,Regional,Full-stack Engineer,"PHP, JavaScript, TypeScript, HTML/CSS",A Start-up,6.0,5-8,Product-based company,93220.0,B2B & B2C lines,80-100K,Food Delivery,Hybrid,Senior,No,Cairo
4/2/2024 12:32:52,Male,Yes,Local,Data Analytics,,A Start-up,2.0,1-3,Product-based company,30000.0,B2B,30-35K,"Fintech, E-commerce",Hybrid,Junior,Yes,Cairo
4/2/2024 12:33:05,Male,Yes,,Full-stack Engineer,C#,A Large Enterprise/Multinational Company,3.0,3-5,Software House,16000.0,B2B,15-18K,Fintech,Remote/Egypt,Mid-level,Yes,Cairo
4/2/2024 12:33:29,Male,Yes,Global,Backend Engineer,JPava,A Large Enterprise/Multinational Company,6.0,5-8,Product-based company,70000.0,B2B,70-80K,Telecommunications,Hybrid,Senior,Yes,Cairo
4/2/2024 12:33:44,Male,Yes,Local,Technical Support,,A Large Enterprise/Multinational Company,1.0,1-3,Product-based company,20000.0,B2B,18-21K,Telecommunications,Hybrid,Junior,Yes,Cairo
4/2/2024 12:33:52,Female,Yes,,Frontend Engineer,"JavaScript, TypeScript, HTML/CSS",A Small and Medium Enterprise,5.0,3-5,Product-based company,55000.0,B2B & B2C lines,50-60K,"Supply Chain, Transportation",Hybrid,Senior,Yes,Cairo
4/2/2024 12:34:50,Male,Yes,,AI & Automation Engineer,"JPava, Python",A Small and Medium Enterprise,2.0,1-3,Product-based company,40000.0,B2B,40-50K,Technology,Hybrid,Senior,Yes,Cairo
4/2/2024 12:35:24,Male,Yes,,Frontend Engineer,"JavaScript, TypeScript, HTML/CSS",A Small and Medium Enterprise,2.0,1-3,Product-based company,10000.0,B2B,9-12K,Healthcare,Office,Mid-level,Yes,Alexandria
4/2/2024 12:35:25,Male,Yes,,Backend Engineer,JPava,A Large Enterprise/Multinational Company,3.0,3-5,Product-based company,47900.0,B2B,40-50K,"Supply Chain, Manufacturing, Mainly microelectronics data",Hybrid,Mid-level,No,Cairo
4/2/2024 12:35:58,Male,Yes,,Technical Support,,A Small and Medium Enterprise,1.0,1-3,Product-based company,8000.0,B2B,6-9K,Technology,Office,Junior,Yes,Cairo
4/2/2024 12:37:00,Male,Yes,,Backend Engineer,JPava,A Small and Medium Enterprise,0.0,0-1,Software House,17166.66,B2B,15-18K,Technology,Office,Junior,Yes,Cairo
4/2/2024 12:37:06,Male,Yes,Global,Backend Engineer,"C#, JPava",A Large Enterprise/Multinational Company,3.0,3-5,Product-based company,45000.0,B2B & B2C lines,40-50K,Telecommunications,Hybrid,Mid-level,Yes,Cairo
4/2/2024 12:37:12,Male,Yes,Global,Data Engineer,Python,A Start-up,5.0,5-8,Product-based company,77000.0,B2B & B2C lines,70-80K,"Fintech, Delivery, Transportation",Hybrid,Mid-level,Yes,Cairo
4/2/2024 12:39:11,Female,Yes,,Frontend Engineer,"JavaScript, TypeScript, HTML/CSS",A Small and Medium Enterprise,7.0,5-8,Software House,114145.7,B2B & B2C lines,100-120K,"Fintech, Insurtech",Hybrid,Senior,No,Cairo
4/2/2024 12:39:34,Male,No,,Backend Engineer,TypeScript,A Start-up,1.0,1-3,Product-based company,5000.0,B2B,3-6K,"Telecommunications, Human Resources Services",Remote/Egypt,Junior,Yes,Cairo
4/2/2024 12:40:03,Male,Yes,,Frontend Engineer,"JavaScript, TypeScript, HTML/CSS",A Start-up,2.0,1-3,Product-based company,12000.0,B2B,12-15K,Supply Chain,Remote/Egypt,Junior,Yes,Cairo
4/2/2024 12:40:04,Male,Yes,,Embedded Systems Engineer,C/C++,A Small and Medium Enterprise,12.0,12-15,Product-based company,35000.0,B2B & B2C lines,35-40K,Healthcare,Office,Team Lead,Yes,Cairo
