Title,Company,Clean_Location,Job_Type,Skills,Min_Experience_Years,Min_Salary,Max_Salary,Avg_Salary
Supply Chain Optimization Lead,Wadi Group,Giza,,Supply Chain Optimization,5,40000.0,50000.0,45000.0
Growth Marketing & E-commerce Lead (GCC Fashion Brand),Gipci,Cairo,,AI,5,20000.0,25000.0,22500.0
Civil Engineer,Citylogix ME,Cairo,,Engineering,0,10000.0,15000.0,12500.0
"Founding Developer vacancy in Hurghada, Red Sea",,Unknown,,Full-Stack Development,2,25000.0,60000.0,42500.0
Embedded Linux Senior Software Engineer - Optimisation,Canonical,Saudi Arabia,,Information Technology (IT),0,100000.0,100000.0,100000.0
Dotnet Lead with React role,Royal Cyber,Saudi Arabia,,"Dotnet, C#, Asp.net, React",5,100000.0,150000.0,125000.0
Software Quality Assurance Engineer / Analyst,Raad Alfaris Information Technology Co,Cairo,,QA,3,22500.0,25000.0,23750.0
Staff Design Engineer - Cloud Networking UX,Canonical,United Arab Emirates,,Design,0,100000.0,100000.0,100000.0
"Technical Office Engineer vacancy in Heliopolis, Cairo",,Unknown,,Technical Office Engineering,0,8000.0,15000.0,11500.0
App Developer,Brizee LLC,United States,,iOS Development,1,50000.0,150000.0,100000.0
Senior Full Stack PHP Laravel Developer Remote,HIGHBASE TRADING W.L.L,Egypt,,PHP,4,40000.0,50000.0,45000.0
Data Engineer,Osloop Development,Alexandria,,Data Engineering,1,10000.0,14000.0,12000.0
Data Scientist,Aman,Cairo,,PostgreSQL,2,37000.0,40000.0,38500.0
Computer Instructor,WeLyra,Cairo,,Back-End Development,2,8000.0,8500.0,8250.0
Developer,Royal Palm Holidays,Egypt,,Front-End Development,3,25000.0,30000.0,27500.0
Production Engineer,Fabric Tex,Sharqia,,Manufacturing,1,12000.0,16000.0,14000.0
"Accounting Supervisor vacancy in 10th of Ramadan City, Sharqia",,Unknown,,Accounting,0,7000.0,13000.0,10000.0
Video Editor,Render House,Egypt,,Adobe Premiere Pro,1,20000.0,40000.0,30000.0
PHP Developer,TourPlaner,Giza,,PHP,1,10000.0,15000.0,12500.0
"Webmaster Digital Marketing Expert vacancy in Hartford, United States",,Unknown,,Web Design,5,40000.0,80000.0,60000.0
Software Developer,Code Healers LLC,United States,,Programming,1,75000.0,125000.0,100000.0
Lead Backend Architect,99 Developers,Egypt,,JavaScript,8,30000.0,70000.0,50000.0
RTA - WFM,Intouch CX,Cairo,,Data Analytics,1,20000.0,23000.0,21500.0
Software Engineer Manager - Python,Agency,Egypt,,Python,6,100000.0,160000.0,130000.0
Junior Architectural Designer,Designworks.,Egypt,,Autodesk Revit,0,12000.0,15000.0,13500.0
Barista,BoHub,Cairo,,Coffee preparation,0,5500.0,6000.0,5750.0
ID Design Engineer,"CSCEC INTERNATIONAL DECORATION ENGINEERING CO.,LTD",Matruh,,english,0,20000.0,30000.0,25000.0
MIS / Data Analyst,GOLD ERA,Cairo,,MIS,5,10000.0,25000.0,17500.0
Mid Level Rest API Django Python Developer,Software House Solution,Cairo,,Django,2,15000.0,25000.0,20000.0
IT Support Engineer,Powerprozesse Gmbh,Germany,,it-support,1,42000.0,80000.0,61000.0
Full-stack .Net Core and Angular Developer,Syscodeia,Cairo,,Agile,5,30000.0,80000.0,55000.0
"Software Engineer vacancy in Orlando, United States",,Unknown,,"Programming (Java, Python, C#, JavaScript)",2,50000.0,150000.0,100000.0
Senior Software Engineer,QNB Life Insurance,Giza,,Programming Language,4,30000.0,40000.0,35000.0
Team Leader Sales Engineer,Mechanical industrial services Company,Cairo,,Machinery,5,20000.0,30000.0,25000.0
Production Engineer,iLock,Dakahlia,,Production process optimization,5,15000.0,30000.0,22500.0
Technical Support Engineer,AIC - Al Maalim International Co.,القاهرة,,Access control systems,3,8000.0,12000.0,10000.0
Product Designer,HIGHBASE TRADING W.L.L,Egypt,,UX Design,3,40000.0,50000.0,45000.0
Forklift Operator,"Egypt Chuan Jin Nuo Chemical Co.,Ltd",Suez,,Forklift Certificate,2,15000.0,18000.0,16500.0
Financial Analyst,Cultiv,Cairo,,Financial Analysis,2,8000.0,15000.0,11500.0
Odoo Developer,Naguib Selim,Cairo,,Odoo Development,2,35000.0,40000.0,37500.0
Electrical Engineer - Supervisor,Al Baraka Paper Converting Co.,Giza,,Electrical Maintenance,3,12000.0,16000.0,14000.0
Technical Office Engineer – Infrastructure Projects,ELGARHY,Cairo,,AutoCAD,10,40000.0,50000.0,45000.0
Senior Technical Office Engineer - Tender,KinanCo,Cairo,,AutoCAD,7,25000.0,35000.0,30000.0
Backend Engineer (Mid-Level),Seha Care,Cairo,,Strong Python (FastAPI) OR Node.js (Express/NestJS),3,20000.0,50000.0,35000.0
Software Development Specialist,Help AG,Cairo,,Angular,5,90000.0,100000.0,95000.0
React Native Mobile Developer,Babeleye,Cairo,,Mobile App Development,2,12000.0,15000.0,13500.0
Principal AI Architect (Optimization & Decision Intelligence),Makkook.AI,Egypt,,Optimization Algorithms,7,80000.0,160000.0,120000.0
Mid level Django Backend Developer,Software House Solution,Cairo,,Python,2,18000.0,25000.0,21500.0
Technical Recruiter / Technical Software Engineer (Hiring & Candidate Evaluation),Agency,Egypt,,Technical Recruitment,3,50000.0,100000.0,75000.0
Senior Mechanical Engineer,Sinoma-cdi,Cairo,,Mechanical Engineering,5,30000.0,40000.0,35000.0
Software Engineer,Ayra AI,Egypt,,Software Engineering,2,40000.0,50000.0,45000.0
Odoo Developer,Jaffangroup,Cairo,,Odoo Development,3,14000.0,21000.0,17500.0
Bookkeeping Analyst I,Assist Group Limited,Giza,,Bookkeeping,0,8000.0,20000.0,14000.0
Senior Software Quality Engineer,MOWEEX Digital Solutions,Giza,,Software Testing,4,35000.0,50000.0,42500.0
"AI-Driven Growth Operator vacancy in Red Sea, Egypt",,Unknown,,marketing,5,35000.0,200000.0,117500.0
Interior Design Engineer,Different corner technical office,Giza,,Interior Design,2,10000.0,15000.0,12500.0
Site Engineer,VACT Contracting & Trading,Giza,,Pricing,5,12000.0,18000.0,15000.0
ELV Engineer (Design & Implementation),Techzonecs,مصر,,certifications,3,20000.0,30000.0,25000.0
Architectural Execution Engineer,Sani Pure,Cairo,,Site supervision,2,15000.0,20000.0,17500.0
Light Current Engineer,Catalyst Developments,Cairo,,Light Current Systems,3,20000.0,25000.0,22500.0
Architecture Technical Office Engineer,SCALES Homes,Cairo,,Technical Drawing,3,12000.0,15000.0,13500.0
Quality Control Engineer,Zahranco Engineering Trade,Cairo,,Quality Control,8,30000.0,45000.0,37500.0
Service Advisor Engineer,AL SHAL,Gharbia,,Customer Service,4,11500.0,13000.0,12250.0
"Vice President of Product Engineering, 2 Hour Learning (Remote) - $400,000/year USD",Crossover,United Arab Emirates,,computer science,0,10000.0,10000.0,10000.0
Site Engineer,Bakir Construction Company,Cairo,,AutoCAD,3,14000.0,24000.0,19000.0
Production Engineering of Wound Dressing and Medical Plaster,MEDIC,Monufya,,Medical textile manufacturing,5,35000.0,40000.0,37500.0
Enterprise NOC Senior Engineer,Etisalat Egypt,Egypt,,CCNA,3,10000.0,12000.0,11000.0
Site Engineer,Smart wood,Cairo,,Applied Arts,0,10000.0,12000.0,11000.0
Architectural BIM engineer,CBD Project Package 7 of CSCEC (Egypt),Cairo,,Autodesk Revit,2,25000.0,45000.0,35000.0
Site Engineer,Quantum Automatic Systems,Cairo,,Site supervision,2,12000.0,16000.0,14000.0
Maintenance & Service Engineer,Dani Pack,Cairo,,Maintenance,0,9000.0,10000.0,9500.0
Research And Development Engineer,El Abd Group,Giza,,Product Development,3,10000.0,15000.0,12500.0
Senior Automation Engineer,Kmt for Industrial Services,Cairo,,PLC Programming,5,25000.0,35000.0,30000.0
Production Supervisor,Al Baraka Paper Converting Co.,Giza,,Production supervision,5,14000.0,20000.0,17000.0
"Researcher - English Speaker vacancy in Nasr City, Cairo",,Unknown,,Research,1,12000.0,20000.0,16000.0
Quality Engineer,Al ayat for printing and packaging,Giza,,Quality Assurance,5,15000.0,20000.0,17500.0
Senior Mechanical Design Engineer,Seero,Cairo,,Building Information Modeling (BIM),5,25000.0,45000.0,35000.0
Senior Electrical Design Engineer,Reavera,Cairo,,Electrical System Design,5,42000.0,60000.0,51000.0
Production Manager,Alhayat Company for plastic pipes and fabricated fittings,Cairo,,Production Management,10,30000.0,35000.0,32500.0
Architectural Engineer,ECE,Egypt,,AutoCAD,3,14000.0,39000.0,26500.0
Junior Help Desk IT Specialist,Aga Khan Cultural services- Egypt (AKCS-E),Cairo,,Hardware,0,10000.0,12000.0,11000.0
IT -Technical Support Engineer,NAGADA,Giza,,Windows,2,6000.0,7000.0,6500.0
"Production Planner vacancy in 10th of Ramadan City, Sharqia",,Unknown,,Production Planning,2,15000.0,25000.0,20000.0
Network Engineer,Egyptian Packaging and Plastic Systems Corp,Cairo,,Network Design,1,10000.0,15000.0,12500.0
Javascript Developer,Agency,Egypt,,JavaScript,5,75000.0,110000.0,92500.0
Senior Cloud / IT Systems Architecture Engineer,K Line Europe,Cairo,,AWS Cloud,7,8000.0,10000.0,9000.0
